,topic 0,topic 0_V,topic 1,topic 1_V,topic 2,topic 2_V,topic 3,topic 3_V,topic 4,topic 4_V
0,sop malaysia,100,vaksin covid,100,bantuan covid 19,100,malaysia mco,100,kes covid 19,100
1,sop covid,75,vaksin kucing,55,bantuan covid sabah,69,mco period,8,kes covid malaysia,88
2,sop covid 19,47,vaksin covid 19,50,bantuan covid 19 sabah,41,mco meaning,7,kes terkini covid,84
3,sop pkpp,47,,,,,mco means,4,kes covid hari ini,58
4,sop meaning,35,,,,,malaysia mco start date,1,kes covid 19 malaysia,57
5,mkn sop,31,,,,,,,covid 19 malaysia,54
6,rmco sop,27,,,,,,,kes covid 19 terkini,40
7,maksud sop,15,,,,,,,kes covid malaysia terkini,36
8,sop raya haji,12,,,,,,,kes covid di malaysia,28
9,sop pkpb,11,,,,,,,kes covid 19 terkini malaysia,24
10,sop in malay,10,,,,,,,kes covid hari ini malaysia,22
11,sop pembukaan sekolah,7,,,,,,,kes baru covid,19
12,sop kenduri kahwin,7,,,,,,,kes covid sabah,16
13,sop majlis perkahwinan,6,,,,,,,kes baharu covid 19,15
14,sop share price,5,,,,,,,kes covid di kedah,13
15,sop majlis kahwin,4,,,,,,,kes covid terbaru,11
16,sop 1 ogos 2020,4,,,,,,,jumlah kes covid 19,11
17,cmco sop,2,,,,,,,kes baru covid 19,11
18,sop solat jumaat,2,,,,,,,kes covid hari ini di malaysia,9
19,sop stand for,1,,,,,,,kes baru covid malaysia,8
20,sop 意思,1,,,,,,,kes covid harini,7
21,,,,,,,,,kes covid 19 terkini di malaysia,6
22,,,,,,,,,kes baharu covid 19 malaysia hari ini,5
23,,,,,,,,,kes covid di sarawak,3
24,,,,,,,,,kes covid hari ni,3
